Segment ID,Project Name,Project Number,Organization Name,Vendor ID,Contract Number,Contract Description,GC Phase Code,GC Phase Code Description,Breakout Code,Breakout Code Description,Invoice Code,Invoice Code Description,Handling Code,Handling Code Description,Account Code,Subcontract Item Number,Category Code,Subjob,Sub Phase Code,Sub Phase Code Description,Scheduled Value Amount,Net Change by Change Order,Contract Sum To Date,Total Billed To Date,Total Percent Complete To Date,Total Retention To Date,Total Balance Due
,SANDRESM1 - East Side Coastal Resiliency From Montgomery St To E 15th St,IPC-IPCRP1,"Keller North America, Inc.",KELL03,IPCRP1-48,Wick Drain-Stone Column,,007:CO-007.01-CO-007.01  Stone Column for Ground Improvement,,,,,,,0009-1000,007*IPCRP1*S*1302409380,S,IPCRP1,007*IPCRP1*S*1302409380,007:CO-007.01-CO-007.01  Stone Column for Ground Improvement,0.00,"-288,475.00","-288,475.00","-288,475.00",100.00,"-14,423.75","-14,423.75"
,SANDRESM1 - East Side Coastal Resiliency From Montgomery St To E 15th St,IPC-IPCRP1,"Keller North America, Inc.",KELL03,IPCRP1-48,Wick Drain-Stone Column,,008:CO-008.01-CO-08.01  Item 551.99450002 - Permanent Casing for Micropiles,,,,,,,0009-1000,008*IPCRP1*S*1302730057,S,IPCRP1,008*IPCRP1*S*1302730057,008:CO-008.01-CO-08.01  Item 551.99450002 - Permanent Casing for Micropiles,0.00,"-2,527,900.00","-2,527,900.00",0.00,0.00,0.00,"-2,527,900.00"
,SANDRESM1 - East Side Coastal Resiliency From Montgomery St To E 15th St,IPC-IPCRP1,"Keller North America, Inc.",KELL03,IPCRP1-48,Wick Drain-Stone Column,,"009:CO-009.01-CO-009.01 Ring Bits and Associated Changes to Cutting Shoes, J-Teeth, etc.",,,,,,,0009-1000,009*IPCRP1*S*1302730133,S,IPCRP1,009*IPCRP1*S*1302730133,"009:CO-009.01-CO-009.01 Ring Bits and Associated Changes to Cutting Shoes, J-Teeth, etc.",0.00,"225,000.00","225,000.00","170,123.37",75.61,"8,506.17","63,382.80"
,SANDRESM1 - East Side Coastal Resiliency From Montgomery St To E 15th St,IPC-IPCRP1,"Keller North America, Inc.",KELL03,IPCRP1-48,Wick Drain-Stone Column,,010:CO-010.01-CO-010.01 Rewelding Skyline Starters,,,,,,,0009-1000,010*IPCRP1*S*1302806749,S,IPCRP1,010*IPCRP1*S*1302806749,010:CO-010.01-CO-010.01 Rewelding Skyline Starters,0.00,"5,551.05","5,551.05","5,551.05",100.00,277.55,277.55
,SANDRESM1 - East Side Coastal Resiliency From Montgomery St To E 15th St,IPC-IPCRP1,"Keller North America, Inc.",KELL03,IPCRP1-48,Wick Drain-Stone Column,,"011:CO-011.01-CO-011.01  Reversal of CO-005-5, Mobilization for Micro Piles paid under contract item ESCR-551.9930129",,,,,,,0009-1000,011*IPCRP1*S*1303001121,S,IPCRP1,011*IPCRP1*S*1303001121,"011:CO-011.01-CO-011.01  Reversal of CO-005-5, Mobilization for Micro Piles paid under contract item ESCR-551.9930129",0.00,"-202,500.00","-202,500.00","-202,500.00",100.00,"-10,125.00","-10,125.00"
,SANDRESM1 - East Side Coastal Resiliency From Montgomery St To E 15th St,IPC-IPCRP1,"Keller North America, Inc.",KELL03,IPCRP1-48,Wick Drain-Stone Column,,"011:CO-011.02-CO-011.02  Reversal of CO-005-6, Item ESCR-551.9939625  9.625 OD x 0.54 Wall Thickness Micro Pile",,,,,,,0009-1000,011*IPCRP1*S*1303001122,S,IPCRP1,011*IPCRP1*S*1303001122,"011:CO-011.02-CO-011.02  Reversal of CO-005-6, Item ESCR-551.9939625  9.625 OD x 0.54 Wall Thickness Micro Pile",0.00,"-768,200.00","-768,200.00","-768,200.00",100.00,"-38,410.00","-38,410.00"
,SANDRESM1 - East Side Coastal Resiliency From Montgomery St To E 15th St,IPC-IPCRP1,"Keller North America, Inc.",KELL03,IPCRP1-48,Wick Drain-Stone Column,,"011:CO-011.03-CO-011.03  Reversal of CO-005-7, Item ESCR-551.9938625C  9.625 OD x 0.54 Wall Thickness Micro Pile, Static Compression Test",,,,,,,0009-1000,011*IPCRP1*S*1303001123,S,IPCRP1,011*IPCRP1*S*1303001123,"011:CO-011.03-CO-011.03  Reversal of CO-005-7, Item ESCR-551.9938625C  9.625 OD x 0.54 Wall Thickness Micro Pile, Static Compression Test",0.00,"-300,000.00","-300,000.00","-300,000.00",100.00,"-15,000.00","-15,000.00"
,SANDRESM1 - East Side Coastal Resiliency From Montgomery St To E 15th St,IPC-IPCRP1,"Keller North America, Inc.",KELL03,IPCRP1-48,Wick Drain-Stone Column,,012:CO-012.01-CO-012.01 ConEd Downtime 11/14/2023,,,,,,,0009-1000,012*IPCRP1*S*1303072077,S,IPCRP1,012*IPCRP1*S*1303072077,012:CO-012.01-CO-012.01 ConEd Downtime 11/14/2023,0.00,"12,515.01","12,515.01","12,515.01",100.00,625.75,625.75
,SANDRESM1 - East Side Coastal Resiliency From Montgomery St To E 15th St,IPC-IPCRP1,"Keller North America, Inc.",KELL03,IPCRP1-48,Wick Drain-Stone Column,,013:CO-013.01-CO-013.01  Quantity Adjustment for Item 551.99450002  Permanent Casing for Micropiles,,,,,,,0009-1000,013*IPCRP1*S*1303340335,S,IPCRP1,013*IPCRP1*S*1303340335,013:CO-013.01-CO-013.01  Quantity Adjustment for Item 551.99450002  Permanent Casing for Micropiles,0.00,"-43,924.00","-43,924.00",0.00,0.00,0.00,"-43,924.00"
,SANDRESM1 - East Side Coastal Resiliency From Montgomery St To E 15th St,IPC-IPCRP1,"Keller North America, Inc.",KELL03,IPCRP1-48,Wick Drain-Stone Column,,014:CO-014.01-CO-014.01  Submittals for Jet Grout Test Program at Houston Street Retaining Wall (all inclusive),,,,,,,0000-0202,014*IPCRP1*S*1303430101,S,IPCRP1,014*IPCRP1*S*1303430101,014:CO-014.01-CO-014.01  Submittals for Jet Grout Test Program at Houston Street Retaining Wall (all inclusive),0.00,"25,000.00","25,000.00","25,000.00",100.00,"1,250.00","1,250.00"
,SANDRESM1 - East Side Coastal Resiliency From Montgomery St To E 15th St,IPC-IPCRP1,"Keller North America, Inc.",KELL03,IPCRP1-48,Wick Drain-Stone Column,,015:CO-015-1-Seq 3490 - Pre-Drilling for Wick Drains (extension #1),,,,,,,0009-1000,015*IPCRP1*S*1303506290,S,IPCRP1,015*IPCRP1*S*1303506290,015:CO-015-1-Seq 3490 - Pre-Drilling for Wick Drains (extension #1),0.00,"1,885,850.00","1,885,850.00","1,885,850.00",100.00,"94,292.50","94,292.50"
,SANDRESM1 - East Side Coastal Resiliency From Montgomery St To E 15th St,IPC-IPCRP1,"Keller North America, Inc.",KELL03,IPCRP1-48,Wick Drain-Stone Column,,"016:CO-016.01-CO-016.01  Houston St, Mobilization Test Program",,,,,,,0000-0202,016*IPCRP1*S*1303524729,S,IPCRP1,016*IPCRP1*S*1303524729,"016:CO-016.01-CO-016.01  Houston St, Mobilization Test Program",0.00,"259,900.00","259,900.00","259,900.00",100.00,"12,995.00","12,995.00"
